experiment,domain,dataset,seed,model,variant,fit_samples,train_samples,test_samples,n_features,fit_seconds,predict_seconds,split_protocol,accuracy,macro_f1,balanced_accuracy,mcc,minority_recall,g_mean,gb_feature_seconds,n_balls,average_ball_size,compression_ratio
fault_gbfeat_v1,industrial_tabular,secom,1,lightgbm,gbfeat,940,940,314,602,0.8064770830023917,0.0011120409981231205,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013970458996482193,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,1,lightgbm,raw,940,940,314,590,0.7984653750027064,0.0011222500033909455,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,1,random_forest,gbfeat,940,940,314,602,0.2727944159996696,0.015851790994929615,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013970458996482193,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,1,random_forest,raw,940,940,314,590,0.27284570899792016,0.015970458000083454,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,1,xgboost,gbfeat,940,940,314,602,0.8644844590016874,0.0007234160002553836,chronological 60/20/20 by official production test timestamp,0.9426751592356688,0.4852459016393443,0.4983164983164983,-0.013523031736457278,0.0,9.983150788368352e-07,0.013970458996482193,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,1,xgboost,raw,940,940,314,590,0.8541859580000164,0.0007593330010422505,chronological 60/20/20 by official production test timestamp,0.9426751592356688,0.4852459016393443,0.4983164983164983,-0.013523031736457278,0.0,9.983150788368352e-07,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,7,catboost,gbfeat,940,940,314,602,1.446198458004801,0.0007808329974068329,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013648708001710474,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,7,catboost,raw,940,940,314,590,1.4323025829944527,0.0007056660033413209,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,7,extra_trees,gbfeat,940,940,314,602,0.1214667919994099,0.01598241699684877,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013648708001710474,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,7,extra_trees,raw,940,940,314,590,0.13436079100210918,0.015854707999096718,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,7,lightgbm,gbfeat,940,940,314,602,0.8048133339980268,0.0010976249977829866,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013648708001710474,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,7,lightgbm,raw,940,940,314,590,0.7982154169949354,0.0011290409966022708,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,7,random_forest,gbfeat,940,940,314,602,0.26895033400069224,0.015312124996853527,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013648708001710474,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,7,random_forest,raw,940,940,314,590,0.2692925000010291,0.014814707996265497,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,7,xgboost,gbfeat,940,940,314,602,0.86338466599409,0.0006094999989727512,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013648708001710474,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,7,xgboost,raw,940,940,314,590,0.8599817919966881,0.0007178749947343022,chronological 60/20/20 by official production test timestamp,0.9394904458598726,0.48440065681444994,0.49663299663299665,-0.019155078532433645,0.0,9.966273091110805e-07,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,21,catboost,gbfeat,940,940,314,602,1.4778808330011088,0.0008057500017457642,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013254041004984174,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,21,catboost,raw,940,940,314,590,1.4679672079946613,0.0007009580003796145,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,21,extra_trees,gbfeat,940,940,314,602,0.12030641700403066,0.014303790994745214,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013254041004984174,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,21,extra_trees,raw,940,940,314,590,0.12897308300307486,0.015950125001836568,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,21,lightgbm,gbfeat,940,940,314,602,0.8033121670014225,0.0010713750016293488,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013254041004984174,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,21,lightgbm,raw,940,940,314,590,0.7908242079938645,0.0011098329996457323,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,21,random_forest,gbfeat,940,940,314,602,0.28345112500392133,0.01414683299663011,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013254041004984174,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,21,random_forest,raw,940,940,314,590,0.27324495799985016,0.015926708998449612,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,21,xgboost,gbfeat,940,940,314,602,0.8671503750010743,0.0006312500045169145,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013254041004984174,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,21,xgboost,raw,940,940,314,590,0.8531712499971036,0.0006429589993786067,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,42,catboost,gbfeat,940,940,314,602,1.459509459004039,0.0007565840060124174,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013094250003632624,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,42,catboost,raw,940,940,314,590,1.4460973749955883,0.0007003329956205562,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,42,extra_trees,gbfeat,940,940,314,602,0.1253534999996191,0.0159680409997236,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013094250003632624,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,42,extra_trees,raw,940,940,314,590,0.1230135000005248,0.015955666996887885,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,42,lightgbm,gbfeat,940,940,314,602,0.8042054170000483,0.0010592920007184148,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013094250003632624,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,42,lightgbm,raw,940,940,314,590,0.7964445000034175,0.0011180840010638349,chronological 60/20/20 by official production test timestamp,0.9426751592356688,0.4852459016393443,0.4983164983164983,-0.013523031736457278,0.0,9.983150788368352e-07,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,42,random_forest,gbfeat,940,940,314,602,0.2668789589952212,0.015885959001025185,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.013094250003632624,1.0,940.0,0.0010638297872340426
raw_baseline_v1,industrial_tabular,secom,42,random_forest,raw,940,940,314,590,0.2823415000020759,0.016109875003166962,chronological 60/20/20 by official production test timestamp,0.945859872611465,0.486088379705401,0.5,0.0,0.0,1e-06,0.0,,,
fault_gbfeat_v1,industrial_tabular,secom,42,xgboost,gbfeat,940,940,314,602,0.8617726669981494,0.0006152499991003424,chronological 60/20/20 by official production test timestamp,0.9426751592356688,0.4852459016393443,0.4983164983164983,-0.013523031736457278,0.0,9.983150788368352e-07,0.013094250003632624,1.0,940.0,0.0010638297872340426
