experiment,domain,dataset,seed,model,variant,fit_samples,train_samples,test_samples,n_features,fit_seconds,predict_seconds,split_protocol,accuracy,macro_f1,balanced_accuracy,mcc,minority_recall,g_mean,gb_feature_seconds,n_regions,fit_subset
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,extra_trees,ugbfeat,48000,48000,16000,180,3.7325855829985812,0.05180716699396726,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989,0.8534055311092621,0.7900586666666667,0.726520508169542,0.5813333333333334,0.761988472353749,0.3146690419962397,2.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,lightgbm,kmeansfeat,48000,48000,16000,180,2.0399098330017296,0.030837209000310395,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9911875,0.9095051629189863,0.9356266666666666,0.8206523207650382,0.8773333333333333,0.9338089454843891,0.3146690419962397,2.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,42,lightgbm,raw,48000,48000,16000,170,1.9777670839976054,0.02772579200245673,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9910625,0.9086670170691684,0.9368639999999999,0.819233717532538,0.88,0.9351366958899645,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,lightgbm,ugbfeat,48000,48000,16000,180,2.1857392499950947,0.02869250000367174,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9909375,0.9076137977996553,0.9368000000000001,0.8172590493907034,0.88,0.9350764674613515,0.3146690419962397,2.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,random_forest,kmeansfeat,48000,48000,16000,180,8.619716624998546,0.040705416999117006,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9884375,0.843654190323874,0.7780586666666667,0.7098740014022379,0.5573333333333333,0.7460935705392454,0.3146690419962397,2.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,42,random_forest,raw,48000,48000,16000,170,6.816501125002105,0.04554912500316277,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.988,0.8358692390744051,0.7687253333333333,0.6966720348968091,0.5386666666666666,0.7334927729705317,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,random_forest,ugbfeat,48000,48000,16000,180,8.31083375000162,0.040279125001688953,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989,0.852459895917163,0.7874559999999999,0.7260633685302506,0.576,0.7585336591081505,0.3146690419962397,2.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,xgboost,kmeansfeat,48000,48000,16000,180,1.6257720420035184,0.005886792001547292,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9894375,0.8951127791696152,0.9347306666666666,0.7939066437464999,0.8773333333333333,0.9329667546774286,0.3146690419962397,2.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,42,xgboost,raw,48000,48000,16000,170,1.352622957994754,0.005074167005659547,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9905,0.9041969156764258,0.9378773333333333,0.8110676799255409,0.8826666666666667,0.9362508609697866,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,xgboost,ugbfeat,48000,48000,16000,180,1.5376382500035106,0.005506624998815823,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9904375,0.9032192220224977,0.9352426666666667,0.8088784204930392,0.8773333333333333,0.9334480996106139,0.3146690419962397,2.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,catboost,kmeansfeat,48000,48000,16000,180,2.188863916002447,0.02393537500029197,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.978625,0.8319270740420213,0.9630293333333333,0.6959818470107859,0.9466666666666667,0.9628903156642505,1.0444763340055943,13.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,2026,catboost,raw,48000,48000,16000,170,1.6500502089984366,0.00403316700248979,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9791875,0.8365001757899293,0.969824,0.70569698936348,0.96,0.9697742417697017,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,catboost,ugbfeat,48000,48000,16000,180,2.1664713329955703,0.009017416996357497,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9799375,0.8394443624542267,0.9650026666666667,0.708528215959622,0.9493333333333334,0.9648754420476597,1.0444763340055943,13.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,2026,extra_trees,kmeansfeat,48000,48000,16000,180,3.9768511669972213,0.060330374995828606,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.988375,0.8435723039718127,0.779328,0.708536206554629,0.56,0.7478284295211035,1.0444763340055943,13.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,2026,extra_trees,raw,48000,48000,16000,170,2.813788375002332,0.05436987500434043,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989,0.853873726558305,0.7913600000000001,0.7267662247543897,0.584,0.7637096830602581,,,
