experiment_id,base_config,family,method,condition_a_oracle,condition_b_oracle,positive_global_regret,positive_global_point_fraction,mean_global_regret,max_global_regret,estimated_eps01_oracle_regret,estimated_eps01_condition_a_vs_global,estimated_eps01_cost,estimated_eps01_risk,marginal_value_mean,marginal_value_variance,region_value_variance,region_scores_json
v2thy-C05-s1,C05,C,kmeans,True,True,True,0.6,0.01706,0.15999999999999998,0,True,5,0.14,0.08000129870129868,0.006399792209478831,0.0,"[0.08000129870129868, 0.08000129870129868, 0.08000129870129868, 0.08000129870129868]"
v2thy-C05-s2026,C05,C,kmeans,True,True,True,0.7,0.018,0.15999999999999998,0,True,5,0.14,0.0800086956521739,0.0063986087712665386,0.0,"[0.0800086956521739, 0.0800086956521739, 0.0800086956521739, 0.0800086956521739]"
v2thy-C05-s21,C05,C,kmeans,True,True,True,0.7,0.01726,0.15999999999999998,0,True,5,0.14,0.05333476115278325,0.005688736589592973,0.00013333376102152997,"[0.05333476115278325, 0.05333476115278325, 0.05333476115278325, 0.08000147058823529]"
v2thy-C05-s42,C05,C,kmeans,True,True,True,0.5,0.01677999999999999,0.15999999999999998,0,True,5,0.14,0.15999999999999998,0,0.0,"[0.15999999999999998, 0.15999999999999998, 0.15999999999999998, 0.15999999999999998]"
v2thy-C05-s7,C05,C,kmeans,True,True,True,0.6,0.017159999999999998,0.15999999999999998,0,True,5,0.14,0.08000065789473683,0.006399894737274929,0.0,"[0.08000065789473683, 0.08000065789473683, 0.08000065789473683, 0.08000065789473683]"
v2thy-D00-s1,D00,D,kmeans,False,True,True,0.9,0.0318,0.046999999999999986,0,True,4,0.38,0.023448559670781896,0.001083535470541415,0.00012129155259003355,"[0.023448559670781896, 0.00017283950617283966, 0]"
v2thy-D00-s2026,D00,D,kmeans,True,True,True,0.9,0.01059999999999997,0.029000000000000026,0,True,4,0.38,0.012003007623172541,0.0006728688671672231,3.0675434567244975e-05,"[0.012003007623172541, 0.0004985590538064299, 2.380952380952383e-05]"
v2thy-D00-s21,D00,D,kmeans,True,True,True,0.9,0.017100000000000014,0.027000000000000024,0,False,5,0.363,0.029015503875969,0.0008877679226008054,0.00014827528727573804,"[0.029015503875969, 0.008523255813953495, 0]"
v2thy-D00-s42,D00,D,kmeans,True,True,True,0.8,0.014500000000000013,0.04200000000000004,0,True,10,0.363,0.01827853741496599,0.000892916830907261,7.026854309027048e-05,"[0.01827853741496599, 0.0010380498866213162, 0]"
v2thy-D00-s7,D00,D,kmeans,True,True,True,0.9,0.013099999999999978,0.029000000000000026,0,True,36,0.364,0.0068894703919933275,0.0003989561712785746,1.1156612291892025e-05,"[0.0075775, 0.0011016666666666655, 9.174311926605512e-06]"
v2thy-D01-s1,D01,D,kmeans,True,False,True,0.6,0.0008999999999999994,0.0020000000000000018,0.0010000000000000009,True,13,0.101,0.10051428571428571,0.010097378775510202,0.0,"[0.10051428571428571, 0.10051428571428571, 0.10051428571428571]"
v2thy-D01-s2026,D01,D,kmeans,True,True,True,0.5,0.003799999999999998,0.009999999999999995,0,True,4,0.1,0.20099999999999998,0,0.0,"[0.20099999999999998, 0.20099999999999998, 0.20099999999999998]"
v2thy-D01-s21,D01,D,kmeans,True,False,True,0.1,0.00010000000000000009,0.0010000000000000009,0,True,4,0.1,0.10051063829787234,0.01009811181530104,0.0,"[0.10051063829787234, 0.10051063829787234, 0.10051063829787234]"
v2thy-D01-s42,D01,D,kmeans,True,False,True,0.3,0.0010999999999999968,0.00399999999999999,0,True,4,0.1,0.20099999999999998,0,0.0,"[0.20099999999999998, 0.20099999999999998, 0.20099999999999998]"
v2thy-D01-s7,D01,D,kmeans,True,False,True,0.5,0.0005000000000000004,0.0010000000000000009,0,True,4,0.1,0.10052173913043477,0.0100958809073724,0.0,"[0.10052173913043477, 0.10052173913043477, 0.10052173913043477]"
v2thy-D02-s1,D02,D,kmeans,True,False,True,0.6,0.0037000000000000062,0.008200000000000013,0,True,4,0.15,0.03751093167537885,0.00421793022053531,0.0,"[0.03751093167537885, 0.03751093167537885, 0.03751093167537885]"
