experiment_id,dataset,seed,method,n_groups,purity_threshold,variant,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-anti-gb-v1-adult-s21,adult,21,tree,79,0.8,matched_full,0.667,0.7284193732193732,0.6511741185861344,-0.2262789505654479,0.079,0.11691123005266447,0.554,0.58321682789924,0.577121,-0.3987258562709429,0.23287239076712757,0.23031125740293576,4.27228128493831,0.6,0.5926862747494002
privacy-anti-gb-v1-adult-s21,adult,21,granular_ball,246,0.9,R8_center_radius_count_purity,0.727,0.7168774928774929,0.6929517236880435,-0.11058801776836677,0.246,0.0655827042438904,0.55,0.6807006238609695,0.6762944999999999,0.08370222615011821,-0.09615145073660726,0.0514779564973747,1.9478420576012614,0.8,0.6814779423475076
privacy-anti-gb-v1-adult-s21,adult,21,hierarchical,246,0.9,matched_full,0.968,0.9619327635327635,0.9633558694736071,-0.48853241010145876,0.246,0.025006418268116132,0.5295,0.6724528664434786,0.65351,0.2795945009066936,-0.4537161452146934,0.019186506585099246,1.2733725037795014,0.794,0.7027777296835593
privacy-anti-gb-v1-adult-s21,adult,21,hierarchical_average,246,0.9,matched_full,0.924,0.93662905982906,0.9143279705648943,-0.6497456965899894,0.246,0.03374093605361302,0.5595,0.744780639068231,0.7547105,0.33332798702849115,-0.6443431243868095,0.02438949956388257,1.3747874355406573,0.807,0.7126569406748244
privacy-anti-gb-v1-adult-s21,adult,21,hierarchical_complete,246,0.9,matched_full,0.954,0.9500125356125357,0.9478259291521487,-0.49276145156116974,0.246,0.02747801945494467,0.531,0.7175518055355672,0.7204309999999999,0.20722886019938236,-0.46853138259891186,0.02032591566968895,1.3009122957979276,0.787,0.6960577404675574
privacy-anti-gb-v1-adult-s21,adult,21,kmeans,246,0.9,R4_center_radius_count,0.949,0.9453082621082621,0.9421095944833848,-0.5946018101287668,0.246,0.025895505953718513,0.5285,0.7499977196900278,0.7721205,0.2319681113486429,-0.5955965870664972,0.020922910948568667,1.2950546977191162,0.795,0.6968527399336626
privacy-anti-gb-v1-adult-s21,adult,21,kmeans_tuned,246,0.9,matched_full,0.949,0.9453082621082621,0.9421095944833848,-0.6031942874229809,0.246,0.025895505953718513,0.5285,0.7502611597608169,0.772357,0.2419379646548116,-0.6006216574438176,0.020922910948568667,1.2950546977191162,0.795,0.6968527399336626
privacy-anti-gb-v1-adult-s21,adult,21,knn_local_prototypes,246,0.9,matched_full,0.91,0.9121139601139601,0.898078900520477,-0.5095456305859931,0.246,0.029741865878818528,0.541,0.7099204073973049,0.703437,0.22596239125579273,-0.49245730161753315,0.02351421917090916,1.3797082495968882,0.805,0.7410327613477452
privacy-anti-gb-v1-adult-s21,adult,21,oracle_supervised,246,0.9,matched_full,0.945,0.9436376068376067,0.9380473656050238,-0.3973118274237955,0.246,0.028182336609271053,0.5275,0.7282617058203509,0.7376725000000001,,-0.3715308874656621,0.022322511954849262,1.3450423525431732,0.759,0.6738302211864189
privacy-anti-gb-v1-adult-s21,adult,21,random,246,0.9,matched_full,0.701,0.7364672364672366,0.667126455208469,-0.2757609488928169,0.246,0.1404526792276787,0.508,0.5176332508893926,0.518957,0.44312442109882083,0.0034047030792978294,0.21734142029072617,4.43674746071596,0.757,0.4714806155184601
privacy-anti-gb-v1-adult-s21,adult,21,tree,120,0.9,matched_full,0.704,0.7645834757834757,0.6966168681021335,-0.2230717766492062,0.12,0.11099579191190204,0.57,0.6307020947147379,0.5942829999999999,-0.15630348029593794,-0.30769230769230765,0.2151555689808142,4.121320358387489,0.605,0.5967540230166678
privacy-anti-gb-v1-adult-s21,adult,21,granular_ball,302,0.95,R8_center_radius_count_purity,0.797,0.8278905982905983,0.774638505731176,-0.2773062292311093,0.302,0.05127856684194386,0.56,0.7338959762423061,0.7327815000000001,0.11875902092560374,-0.2605757922207303,0.04048540357125609,1.6618680819939866,0.797,0.6773265471238351
privacy-anti-gb-v1-adult-s21,adult,21,hierarchical,302,0.95,matched_full,0.976,0.971291168091168,0.972605741836511,-0.3146167773321078,0.302,0.02088100494926679,0.5265,0.7408302986159123,0.7258365,0.12785636288177157,-0.34112043590313673,0.015817812445651842,1.13785547636316,0.788,0.6891057978835731
privacy-anti-gb-v1-adult-s21,adult,21,hierarchical_average,302,0.95,matched_full,0.943,0.928902564102564,0.9345669191006051,-0.6497256831687335,0.302,0.024732319467402734,0.575,0.7630130808397185,0.7470415,0.30411500740787367,-0.6446662420949025,0.018592465876353704,1.1758567153335544,0.804,0.7249910201149425
