experiment_id,dataset,seed,method,variant,n_groups,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-leakage-v1-covertype-s2026,covertype,2026,granular_ball,R6_center_radius,524,0.945,0.9497657990631962,0.9449933441946476,-0.3749916523433178,0.524,0.010478449566743417,0.6,0.8658924283735262,0.8712565000000001,0.17584816892674623,-0.3571430793885404,0.01089519104972231,0.7783856952460462,0.642,0.3249562415637635
privacy-leakage-v1-covertype-s2026,covertype,2026,granular_ball,R7_center_radius_count,524,0.945,0.9497657990631962,0.9449933441946476,-0.3749916523433178,0.524,0.010478449566743417,0.6,0.8658924283735262,0.8712565000000001,0.17584816892674623,-0.3571430793885404,0.01089519104972231,0.7783856952460462,0.642,0.3249562415637635
privacy-leakage-v1-covertype-s2026,covertype,2026,granular_ball,R8_center_radius_count_purity,524,0.945,0.9497657990631962,0.9449933441946476,-0.3749916523433178,0.524,0.010478449566743417,0.6,0.8658924283735262,0.8712565000000001,0.17584816892674623,-0.3571430793885404,0.01089519104972231,0.7783856952460462,0.642,0.3249562415637635
privacy-leakage-v1-covertype-s2026,covertype,2026,hierarchical,matched_full,524,0.982,0.9814299257197028,0.982,0.1323902788655508,0.524,0.0038436782586515343,0.643,0.7495361760505649,0.799439,-0.049353378620808006,0.058606990301515366,0.004844679421657798,0.5490836727083652,0.624,0.3650241236432671
privacy-leakage-v1-covertype-s2026,covertype,2026,kmeans,R1_center,524,0.977,0.9793659174636699,0.976999792998137,-0.8787562732828335,0.524,0.004272073851423273,0.8385,0.9175917100680006,0.9212309999999999,0.5460365277061684,-0.9096132219386399,0.005393320856168994,0.5600232207660514,0.621,0.3657864562893645
privacy-leakage-v1-covertype-s2026,covertype,2026,kmeans,R2_center_count,524,0.977,0.9793659174636699,0.976999792998137,-0.8232225817796668,0.524,0.004272073851423273,0.86,0.9250930514140324,0.934186,0.5135361664428612,-0.8860536501050655,0.005393320856168994,0.5600232207660514,0.621,0.3657864562893645
privacy-leakage-v1-covertype-s2026,covertype,2026,kmeans,R3_center_radius,524,0.977,0.9793659174636699,0.976999792998137,-0.48243362022268804,0.524,0.004272073851423273,0.6135,0.8969002004241213,0.9019265,0.2964810183841564,-0.4831396385565592,0.005393320856168994,0.5600232207660514,0.622,0.362587654488357
privacy-leakage-v1-covertype-s2026,covertype,2026,kmeans,R4_center_radius_count,524,0.977,0.9793659174636699,0.976999792998137,-0.024691904622576394,0.524,0.004272073851423273,0.6345,0.7893985223545006,0.840511,0.025365883715332528,-0.05519117064263194,0.005393320856168994,0.5600232207660514,0.622,0.362587654488357
privacy-leakage-v1-covertype-s2026,covertype,2026,random,matched_full,524,0.694,0.7728250913003653,0.6830342530173896,0.5045061351749734,0.524,0.07363230313200335,0.5195,0.5545677756814515,0.53128,-0.27598113353293835,0.4950328731287862,0.08516330037187553,2.7395730812022876,0.488,0.18227695827632687
privacy-leakage-v1-covertype-s2026,covertype,2026,raw,R0_raw_samples,1000,1.0,1.0,1.0,,1.0,0.0,0.996,1.0,1.0,,,0.0,0.0,0.628,0.39823783791068673
privacy-leakage-v1-covertype-s2026,covertype,2026,tree,matched_full,196,0.794,0.798577194308777,0.7937888397719264,-0.2705631410422899,0.196,0.05973749470225336,0.5865,0.6124147009758323,0.615881,-0.41151064325820935,-0.5797342569065691,0.060542952087375,2.2581758965999663,0.593,0.33605938682924713
privacy-leakage-v1-german_credit-s1,german_credit,1,granular_ball,R5_center,233,0.956,0.972267414679757,0.9502487562189055,-0.8094992730091715,0.466,0.07495264116127434,0.876,0.9442228593670511,0.926252,0.23738633008479532,-0.7801678909164377,0.05754014000980363,1.584950803104622,0.602,0.5596858059519858
privacy-leakage-v1-german_credit-s1,german_credit,1,granular_ball,R6_center_radius,233,0.956,0.972267414679757,0.9502487562189055,-0.43167647757502603,0.466,0.08281106214993526,0.574,0.8685468310522291,0.8687100000000001,0.19575698208082135,-0.38742246493068366,0.059909453960801266,1.6145878599944257,0.672,0.525232173047083
privacy-leakage-v1-german_credit-s1,german_credit,1,granular_ball,R7_center_radius_count,233,0.956,0.972267414679757,0.9502487562189055,-0.43167647757502603,0.466,0.08281106214993526,0.574,0.8685468310522291,0.8687100000000001,0.19575698208082135,-0.38742246493068366,0.059909453960801266,1.6145878599944257,0.672,0.525232173047083
privacy-leakage-v1-german_credit-s1,german_credit,1,granular_ball,R8_center_radius_count_purity,233,0.956,0.972267414679757,0.9502487562189055,-0.43167647757502603,0.466,0.08281106214993526,0.574,0.8685468310522291,0.8687100000000001,0.19575698208082135,-0.38742246493068366,0.059909453960801266,1.6145878599944257,0.672,0.525232173047083
privacy-leakage-v1-german_credit-s1,german_credit,1,hierarchical,matched_full,233,0.992,0.9984011220196354,0.9907151213533639,-0.54671363734396,0.466,0.06177699339029813,0.589,0.8072265502245736,0.79779,0.22402853632479722,-0.5466203566694556,0.04110716396263124,1.4245439836188425,0.652,0.6100473321858864
privacy-leakage-v1-german_credit-s1,german_credit,1,kmeans,R1_center,233,0.966,0.967470780738663,0.9601908963605112,-0.9237724757147548,0.466,0.06307658508223293,0.892,0.9605500793083652,0.965364,0.5623061842570856,-0.9238740295878398,0.04488387201150244,1.3830875404882694,0.702,0.6344006870322659
