dataset,seed,method,score,target_coverage,threshold,test_coverage,test_risk
dry_bean,1,gb_adaptive_parameter_free,train_purity,0.9,1.0,0.9299363057324841,0.06164383561643838
dry_bean,1,gb_adaptive_parameter_free,cal_purity,0.8,1.0,0.910828025477707,0.0699300699300699
dry_bean,1,gb_adaptive_parameter_free,cal_purity,0.9,1.0,0.910828025477707,0.0699300699300699
dry_bean,1,gb_adaptive_parameter_free,laplace_purity,0.8,0.6666666666666666,0.910828025477707,0.0699300699300699
dry_bean,1,gb_adaptive_parameter_free,laplace_purity,0.9,0.6666666666666666,0.910828025477707,0.0699300699300699
dry_bean,1,gb_adaptive_parameter_free,wilson_lower,0.8,0.22360679774997896,0.9681528662420382,0.07236842105263153
dry_bean,1,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,0.9681528662420382,0.07236842105263153
dry_bean,7,gb_fixed_p090,train_purity,0.8,0.9358974358974359,0.9212827988338192,0.11075949367088611
dry_bean,7,gb_fixed_p090,train_purity,0.9,0.9358974358974359,0.9212827988338192,0.11075949367088611
dry_bean,7,gb_fixed_p090,cal_purity,0.8,0.8383838383838383,0.9154518950437318,0.10191082802547768
dry_bean,7,gb_fixed_p090,cal_purity,0.9,0.8383838383838383,0.9154518950437318,0.10191082802547768
dry_bean,7,gb_fixed_p090,laplace_purity,0.8,0.8316831683168316,0.760932944606414,0.08045977011494254
dry_bean,7,gb_fixed_p090,laplace_purity,0.9,0.75,0.8658892128279884,0.08754208754208759
dry_bean,7,gb_fixed_p090,wilson_lower,0.8,0.6518363448688391,0.749271137026239,0.0778210116731517
dry_bean,7,gb_fixed_p090,wilson_lower,0.9,0.3684031498640387,0.9037900874635568,0.09354838709677415
dry_bean,7,gb_adaptive_parameter_free,train_purity,0.8,1.0,0.9593023255813954,0.10303030303030303
dry_bean,7,gb_adaptive_parameter_free,train_purity,0.9,1.0,0.9593023255813954,0.10303030303030303
dry_bean,7,gb_adaptive_parameter_free,cal_purity,0.8,1.0,0.8430232558139535,0.0482758620689655
dry_bean,7,gb_adaptive_parameter_free,cal_purity,0.9,0.5,0.877906976744186,0.052980132450331174
dry_bean,7,gb_adaptive_parameter_free,laplace_purity,0.8,0.6666666666666666,0.8546511627906976,0.04761904761904767
dry_bean,7,gb_adaptive_parameter_free,laplace_purity,0.9,0.5,0.877906976744186,0.052980132450331174
dry_bean,7,gb_adaptive_parameter_free,wilson_lower,0.8,0.22360679774997896,0.872093023255814,0.053333333333333344
dry_bean,7,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,0.872093023255814,0.053333333333333344
dry_bean,21,gb_fixed_p090,train_purity,0.8,0.9078014184397163,0.8390804597701149,0.07534246575342463
dry_bean,21,gb_fixed_p090,train_purity,0.9,0.9017341040462428,0.9913793103448276,0.06666666666666665
dry_bean,21,gb_fixed_p090,cal_purity,0.8,0.8604651162790697,0.8419540229885057,0.04436860068259385
dry_bean,21,gb_fixed_p090,cal_purity,0.9,0.84375,0.9511494252873564,0.05740181268882172
dry_bean,21,gb_fixed_p090,laplace_purity,0.8,0.8235294117647058,0.8189655172413793,0.05964912280701751
dry_bean,21,gb_fixed_p090,laplace_purity,0.9,0.8,0.9051724137931034,0.060317460317460325
dry_bean,21,gb_fixed_p090,wilson_lower,0.8,0.6058366975634952,0.8074712643678161,0.06049822064056942
dry_bean,21,gb_fixed_p090,wilson_lower,0.9,0.4728708045015879,0.9051724137931034,0.060317460317460325
dry_bean,21,gb_adaptive_parameter_free,train_purity,0.8,1.0,1.0,0.09615384615384615
dry_bean,21,gb_adaptive_parameter_free,train_purity,0.9,1.0,1.0,0.09615384615384615
dry_bean,21,gb_adaptive_parameter_free,cal_purity,0.8,1.0,0.8653846153846154,0.03703703703703709
dry_bean,21,gb_adaptive_parameter_free,cal_purity,0.9,1.0,0.8653846153846154,0.03703703703703709
dry_bean,21,gb_adaptive_parameter_free,laplace_purity,0.8,0.6666666666666666,0.8653846153846154,0.03703703703703709
dry_bean,21,gb_adaptive_parameter_free,laplace_purity,0.9,0.6666666666666666,0.8653846153846154,0.03703703703703709
dry_bean,21,gb_adaptive_parameter_free,wilson_lower,0.8,0.22360679774997896,0.8846153846153846,0.036231884057971064
dry_bean,21,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,0.8846153846153846,0.036231884057971064
