dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
breast_cancer,sklearn.load_breast_cancer,1,0.99,release_2,granular_ball,random_forest,569,30,2,45,6.311111111111111,2.0,1,61,14,0.6,0.7333333333333333,1.4463909908183903,1.4281208028632877,0.9666666666666667,1.0,1.0,1.0,0.6188752231700059,0.6631263177871893,0.08098591549295775,nan
breast_cancer,sklearn.load_breast_cancer,1,0.99,release_2,matched_kmeans,logistic,569,30,2,45,6.311111111111111,4.0,1,23,11,0.37777777777777777,0.5777777777777777,1.7734716756996645,2.1310359043879545,0.9639793378923812,1.0,1.0,1.0,0.8030648680817298,0.804460942271114,0.16901408450704225,nan
breast_cancer,sklearn.load_breast_cancer,1,0.99,release_2,matched_kmeans,random_forest,569,30,2,45,6.311111111111111,4.0,1,23,11,0.37777777777777777,0.5777777777777777,1.7734716756996645,2.1310359043879545,0.9639793378923812,1.0,1.0,1.0,0.7746416881571117,0.7547345995726735,0.07746478873239436,nan
breast_cancer,sklearn.load_breast_cancer,1,0.99,release_3,granular_ball,logistic,569,30,2,45,6.311111111111111,2.0,1,61,14,0.6,0.7333333333333333,1.4463909908183903,1.4281208028632877,0.9666666666666667,1.0,1.0,1.0,0.6436470938305892,0.6759406043739147,0.06338028169014084,nan
breast_cancer,sklearn.load_breast_cancer,1,0.99,release_3,granular_ball,random_forest,569,30,2,45,6.311111111111111,2.0,1,61,14,0.6,0.7333333333333333,1.4463909908183903,1.4281208028632877,0.9666666666666667,1.0,1.0,1.0,0.6266241817099781,0.664805005310106,0.06690140845070422,nan
breast_cancer,sklearn.load_breast_cancer,1,0.99,release_3,matched_kmeans,logistic,569,30,2,45,6.311111111111111,4.0,1,23,11,0.37777777777777777,0.5777777777777777,1.7734716756996645,2.1310359043879545,0.9639793378923812,1.0,1.0,1.0,0.808073794881968,0.804737062239264,0.15845070422535212,nan
breast_cancer,sklearn.load_breast_cancer,1,0.99,release_3,matched_kmeans,random_forest,569,30,2,45,6.311111111111111,4.0,1,23,11,0.37777777777777777,0.5777777777777777,1.7734716756996645,2.1310359043879545,0.9639793378923812,1.0,1.0,1.0,0.7776730807379488,0.7653442554589733,0.11619718309859155,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_1,granular_ball,logistic,208,60,2,18,5.777777777777778,3.0,1,29,6,0.5,0.7777777777777778,3.067567497051747,3.881475857784576,0.8709068085005117,1.0,0.75,1.0,0.733912721893491,0.7362413153274885,0.16346153846153846,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_1,granular_ball,random_forest,208,60,2,18,5.777777777777778,3.0,1,29,6,0.5,0.7777777777777778,3.067567497051747,3.881475857784576,0.8709068085005117,1.0,0.75,1.0,0.6571745562130178,0.6643905963245313,0.125,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_1,matched_kmeans,logistic,208,60,2,18,5.777777777777778,4.0,1,19,4,0.3333333333333333,0.6111111111111112,3.8918284640952683,4.891027927942064,0.8034159472755964,0.775,0.6666666666666666,1.0,0.8210059171597632,0.8188212907882946,0.25,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_1,matched_kmeans,random_forest,208,60,2,18,5.777777777777778,4.0,1,19,4,0.3333333333333333,0.6111111111111112,3.8918284640952683,4.891027927942064,0.8034159472755964,0.775,0.6666666666666666,1.0,0.7119082840236686,0.6896442428316607,0.057692307692307696,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_2,granular_ball,logistic,208,60,2,18,5.777777777777778,3.0,1,29,6,0.5,0.7777777777777778,3.067567497051747,3.881475857784576,0.8709068085005117,1.0,0.75,1.0,0.7590606508875739,0.7529569003315661,0.11538461538461539,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_2,granular_ball,random_forest,208,60,2,18,5.777777777777778,3.0,1,29,6,0.5,0.7777777777777778,3.067567497051747,3.881475857784576,0.8709068085005117,1.0,0.75,1.0,0.6633690828402365,0.6617534960366825,0.1346153846153846,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_2,matched_kmeans,logistic,208,60,2,18,5.777777777777778,4.0,1,19,4,0.3333333333333333,0.6111111111111112,3.8918284640952683,4.891027927942064,0.8034159472755964,0.775,0.6666666666666666,1.0,0.8159208579881656,0.8155401671416809,0.25,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_2,matched_kmeans,random_forest,208,60,2,18,5.777777777777778,4.0,1,19,4,0.3333333333333333,0.6111111111111112,3.8918284640952683,4.891027927942064,0.8034159472755964,0.775,0.6666666666666666,1.0,0.7584596893491125,0.7310842747482138,0.08653846153846154,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_3,granular_ball,logistic,208,60,2,18,5.777777777777778,3.0,1,29,6,0.5,0.7777777777777778,3.067567497051747,3.881475857784576,0.8709068085005117,1.0,0.75,1.0,0.7418639053254438,0.7321543198145595,0.125,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_3,granular_ball,random_forest,208,60,2,18,5.777777777777778,3.0,1,29,6,0.5,0.7777777777777778,3.067567497051747,3.881475857784576,0.8709068085005117,1.0,0.75,1.0,0.6580066568047338,0.6671911647558297,0.15384615384615385,nan
sonar,UCI id=151 via ucimlrepo,1,0.7,release_3,matched_kmeans,logistic,208,60,2,18,5.777777777777778,4.0,1,19,4,0.3333333333333333,0.6111111111111112,3.8918284640952683,4.891027927942064,0.8034159472755964,0.775,0.6666666666666666,1.0,0.8280325443786982,0.8346105900234113,0.36538461538461536,nan
