generator_regime,shadow_seed,target_seed,attack_protocol,method,release,attack,threshold,number_of_balls,small_ball_ratio,candidate_count,negative_count,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,dimension,redundant_fraction,label_noise
d60_redundancy0.0_noise0.05,independent_suite,22001,independent_pool_cross_release,matched_kmeans,release_2,random_forest,0.9,35,0.8,600,300,0.7875111111111112,0.7879844370378131,0.16333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22001,same_release_cv,matched_kmeans,release_2,random_forest,0.9,35,0.8,600,300,0.7375333333333333,0.752554966508685,0.21,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22002,independent_pool_cross_release,granular_ball,release_2,logistic,0.9,67,0.835820895522388,600,300,0.7794555555555557,0.7963613504239933,0.2833333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22002,same_release_cv,granular_ball,release_2,logistic,0.9,67,0.835820895522388,600,300,0.7709444444444444,0.7967249353620205,0.29,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22002,independent_pool_cross_release,granular_ball,release_2,random_forest,0.9,67,0.835820895522388,600,300,0.8101833333333334,0.8302576396329335,0.3466666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22002,same_release_cv,granular_ball,release_2,random_forest,0.9,67,0.835820895522388,600,300,0.7899222222222224,0.8165222105363852,0.2733333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22002,independent_pool_cross_release,matched_kmeans,release_2,logistic,0.9,67,0.9253731343283582,600,300,0.7391,0.7588491041873511,0.22,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22002,same_release_cv,matched_kmeans,release_2,logistic,0.9,67,0.9253731343283582,600,300,0.7423777777777778,0.7692094699346423,0.22666666666666666,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22002,independent_pool_cross_release,matched_kmeans,release_2,random_forest,0.9,67,0.9253731343283582,600,300,0.8014555555555555,0.8215460758822579,0.30333333333333334,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22002,same_release_cv,matched_kmeans,release_2,random_forest,0.9,67,0.9253731343283582,600,300,0.8000222222222222,0.8170520350814721,0.27666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22003,independent_pool_cross_release,granular_ball,release_2,logistic,0.9,54,0.8333333333333334,600,300,0.7971555555555556,0.8180875541368804,0.2633333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22003,same_release_cv,granular_ball,release_2,logistic,0.9,54,0.8333333333333334,600,300,0.7776777777777777,0.8039305982043327,0.24666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22003,independent_pool_cross_release,granular_ball,release_2,random_forest,0.9,54,0.8333333333333334,600,300,0.7716777777777778,0.7977491457245274,0.29,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22003,same_release_cv,granular_ball,release_2,random_forest,0.9,54,0.8333333333333334,600,300,0.7682222222222224,0.7905456636308962,0.20666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22003,independent_pool_cross_release,matched_kmeans,release_2,logistic,0.9,54,0.8888888888888888,600,300,0.7146444444444444,0.7351427064224443,0.18,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22003,same_release_cv,matched_kmeans,release_2,logistic,0.9,54,0.8888888888888888,600,300,0.7354777777777777,0.7480627549220522,0.17666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22003,independent_pool_cross_release,matched_kmeans,release_2,random_forest,0.9,54,0.8888888888888888,600,300,0.7918222222222221,0.7990287193267512,0.18,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22003,same_release_cv,matched_kmeans,release_2,random_forest,0.9,54,0.8888888888888888,600,300,0.7743555555555556,0.7869030981105551,0.21333333333333335,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22004,independent_pool_cross_release,granular_ball,release_2,logistic,0.9,33,0.6363636363636364,600,300,0.7853666666666665,0.7995068532343705,0.20333333333333334,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22004,same_release_cv,granular_ball,release_2,logistic,0.9,33,0.6363636363636364,600,300,0.7746888888888889,0.7911919801668108,0.2,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22004,independent_pool_cross_release,granular_ball,release_2,random_forest,0.9,33,0.6363636363636364,600,300,0.7809000000000001,0.8032152138842924,0.20666666666666667,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22004,same_release_cv,granular_ball,release_2,random_forest,0.9,33,0.6363636363636364,600,300,0.7593000000000001,0.7639780130166759,0.13,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22004,independent_pool_cross_release,matched_kmeans,release_2,logistic,0.9,33,0.8787878787878788,600,300,0.6459000000000001,0.6641394598353139,0.13666666666666666,,60,0.0,0.05
