dataset,source,generator,implementation,decision_rule,perturbation_type,perturbation_strength,seed,n_common_samples,ari,nmi,vi,prediction_agreement,accuracy_original,accuracy_perturbed,accuracy_change,ball_count_original,ball_count_perturbed
spambase,UCI id=94 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,sample_deletion,0.01,101,495,0.6641512773536101,0.7570543202063006,1.1319887911286903,0.894,0.786,0.78,0.006000000000000005,60,73
spambase,UCI id=94 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,sample_deletion,0.01,101,495,0.6646841254684964,0.7783565642394097,1.48725018883066,0.868,0.814,0.794,0.019999999999999907,139,104
spambase,UCI id=94 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,313,495,0.14610166663457896,0.546654793428082,2.380327826437963,0.818,0.766,0.812,0.04600000000000004,60,90
spambase,UCI id=94 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,313,495,1.0,1.0,0.0,1.0,0.872,0.872,0.0,2,2
spambase,UCI id=94 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,sample_deletion,0.01,313,495,0.41246639245045363,0.6003472828067454,2.0881025199685093,0.822,0.786,0.828,0.041999999999999926,60,91
spambase,UCI id=94 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,sample_deletion,0.01,313,495,0.6821737553152971,0.8232901267271253,1.2904336535226415,0.868,0.814,0.806,0.007999999999999896,139,149
spambase,UCI id=94 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,911,495,0.1731252503042379,0.5122291853856941,2.3111133331462588,0.776,0.766,0.826,0.05999999999999994,60,63
spambase,UCI id=94 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,911,495,1.0,1.0,-4.440892098500626e-16,1.0,0.872,0.872,0.0,2,2
spambase,UCI id=94 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,sample_deletion,0.01,911,495,0.5338722806520686,0.6780085054536518,1.655667161151988,0.83,0.786,0.804,0.018000000000000016,60,84
spambase,UCI id=94 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,sample_deletion,0.01,911,495,0.8257275921125486,0.8653618755734489,1.0132060137759868,0.884,0.814,0.814,0.0,139,151
