dataset,seed,threshold,method,ball_size_bin,sample_count,member_count,roc_auc
confirm_d60_redundant0.1_noise0.15,2,0.95,matched_kmeans,6-10,44,15,0.7793103448275862
confirm_d60_redundant0.1_noise0.15,2,0.95,matched_kmeans,>20,343,127,0.7399023038786818
confirm_d60_redundant0.1_noise0.15,2,0.99,granular_ball,1-2,293,151,0.9893666635575039
confirm_d60_redundant0.1_noise0.15,2,0.99,granular_ball,11-20,43,24,0.831140350877193
confirm_d60_redundant0.1_noise0.15,2,0.99,granular_ball,3-5,127,68,0.9850448654037887
confirm_d60_redundant0.1_noise0.15,2,0.99,granular_ball,6-10,137,57,0.9624999999999999
confirm_d60_redundant0.1_noise0.15,2,0.99,matched_kmeans,1-2,133,130,1.0
confirm_d60_redundant0.1_noise0.15,2,0.99,matched_kmeans,11-20,67,24,0.8875968992248062
confirm_d60_redundant0.1_noise0.15,2,0.99,matched_kmeans,3-5,13,4,1.0
confirm_d60_redundant0.1_noise0.15,2,0.99,matched_kmeans,6-10,44,15,0.7793103448275862
confirm_d60_redundant0.1_noise0.15,2,0.99,matched_kmeans,>20,343,127,0.7399023038786818
confirm_d60_redundant0.1_noise0.15,13,0.9,granular_ball,1-2,208,130,0.9898422090729783
confirm_d60_redundant0.1_noise0.15,13,0.9,granular_ball,11-20,174,63,0.8406978406978407
confirm_d60_redundant0.1_noise0.15,13,0.9,granular_ball,3-5,66,38,0.9896616541353384
confirm_d60_redundant0.1_noise0.15,13,0.9,granular_ball,6-10,68,30,0.8973684210526316
confirm_d60_redundant0.1_noise0.15,13,0.9,granular_ball,>20,84,39,0.7065527065527065
confirm_d60_redundant0.1_noise0.15,13,0.9,matched_kmeans,1-2,109,105,1.0
confirm_d60_redundant0.1_noise0.15,13,0.9,matched_kmeans,11-20,104,33,0.8565941101152369
confirm_d60_redundant0.1_noise0.15,13,0.9,matched_kmeans,3-5,3,3,
confirm_d60_redundant0.1_noise0.15,13,0.9,matched_kmeans,>20,384,159,0.6831865828092244
confirm_d60_redundant0.1_noise0.15,13,0.95,granular_ball,1-2,309,171,0.9930926349690652
confirm_d60_redundant0.1_noise0.15,13,0.95,granular_ball,11-20,46,25,0.8628571428571429
confirm_d60_redundant0.1_noise0.15,13,0.95,granular_ball,3-5,103,55,0.9981060606060607
confirm_d60_redundant0.1_noise0.15,13,0.95,granular_ball,6-10,142,49,0.9210006583278474
confirm_d60_redundant0.1_noise0.15,13,0.95,matched_kmeans,1-2,144,139,1.0
confirm_d60_redundant0.1_noise0.15,13,0.95,matched_kmeans,11-20,172,43,0.9154497926807283
confirm_d60_redundant0.1_noise0.15,13,0.95,matched_kmeans,6-10,28,8,0.88125
confirm_d60_redundant0.1_noise0.15,13,0.95,matched_kmeans,>20,256,110,0.6668742216687422
confirm_d60_redundant0.1_noise0.15,13,0.99,granular_ball,1-2,309,171,0.9930926349690652
confirm_d60_redundant0.1_noise0.15,13,0.99,granular_ball,11-20,46,25,0.8628571428571429
confirm_d60_redundant0.1_noise0.15,13,0.99,granular_ball,3-5,103,55,0.9981060606060607
confirm_d60_redundant0.1_noise0.15,13,0.99,granular_ball,6-10,142,49,0.9210006583278474
confirm_d60_redundant0.1_noise0.15,13,0.99,matched_kmeans,1-2,144,139,1.0
confirm_d60_redundant0.1_noise0.15,13,0.99,matched_kmeans,11-20,172,43,0.9154497926807283
confirm_d60_redundant0.1_noise0.15,13,0.99,matched_kmeans,6-10,28,8,0.88125
confirm_d60_redundant0.1_noise0.15,13,0.99,matched_kmeans,>20,256,110,0.6668742216687422
confirm_d60_redundant0.1_noise0.15,73,0.9,granular_ball,1-2,331,148,0.9911017574952001
confirm_d60_redundant0.1_noise0.15,73,0.9,granular_ball,11-20,134,70,0.8375
confirm_d60_redundant0.1_noise0.15,73,0.9,granular_ball,3-5,84,56,0.9948979591836735
confirm_d60_redundant0.1_noise0.15,73,0.9,granular_ball,6-10,51,26,0.8984615384615384
confirm_d60_redundant0.1_noise0.15,73,0.9,matched_kmeans,1-2,129,126,1.0
confirm_d60_redundant0.1_noise0.15,73,0.9,matched_kmeans,11-20,156,57,0.8530923267765372
confirm_d60_redundant0.1_noise0.15,73,0.9,matched_kmeans,6-10,18,9,0.9753086419753086
confirm_d60_redundant0.1_noise0.15,73,0.9,matched_kmeans,>20,297,108,0.7403488144228885
confirm_d60_redundant0.1_noise0.15,73,0.95,granular_ball,1-2,375,173,1.0
confirm_d60_redundant0.1_noise0.15,73,0.95,granular_ball,3-5,140,83,0.9997886281969984
confirm_d60_redundant0.1_noise0.15,73,0.95,granular_ball,6-10,85,44,0.9074279379157428
confirm_d60_redundant0.1_noise0.15,73,0.95,matched_kmeans,1-2,154,150,1.0
