dataset,source,seed,method,release,attack,n_total,pool_samples,reference_samples,feature_count,shadow_runs,selected_count_mean,selection_stability_jaccard,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
sonar,UCI id=151 via ucimlrepo,21,FRFS,mask_count,random_forest,208,167,41,60,12,2.4166666666666665,0.16237373737373736,0.5250022909096704,0.5151092411802686,0.009036144578313253,nan
sonar,UCI id=151 via ucimlrepo,21,MutualInformation,mask,logistic,208,167,41,60,12,2.4166666666666665,0.19848484848484851,0.4738134083954867,0.4830062866611609,0.008032128514056224,nan
sonar,UCI id=151 via ucimlrepo,21,MutualInformation,mask,random_forest,208,167,41,60,12,2.4166666666666665,0.19848484848484851,0.511513813189265,0.5039306117317892,0.007028112449799197,nan
sonar,UCI id=151 via ucimlrepo,21,MutualInformation,mask_count,logistic,208,167,41,60,12,2.4166666666666665,0.19848484848484851,0.47278947137757377,0.48281971363046455,0.008032128514056224,nan
sonar,UCI id=151 via ucimlrepo,21,MutualInformation,mask_count,random_forest,208,167,41,60,12,2.4166666666666665,0.19848484848484851,0.5076257410594759,0.5110303608209089,0.01104417670682731,nan
sonar,UCI id=151 via ucimlrepo,21,MutualInformation,ranking,logistic,208,167,41,60,12,2.4166666666666665,0.19848484848484851,0.5148660116657104,0.5074724596339455,0.014056224899598393,nan
sonar,UCI id=151 via ucimlrepo,21,MutualInformation,ranking,random_forest,208,167,41,60,12,2.4166666666666665,0.19848484848484851,0.5163690476190477,0.5097849037951535,0.010040160642570281,nan
sonar,UCI id=151 via ucimlrepo,21,ReliefF,mask,logistic,208,167,41,60,12,2.4166666666666665,0.4414141414141414,0.5070769187862562,0.4968625418890824,0.007028112449799197,nan
sonar,UCI id=151 via ucimlrepo,21,ReliefF,mask,random_forest,208,167,41,60,12,2.4166666666666665,0.4414141414141414,0.5298928850321923,0.517718886936316,0.007028112449799197,nan
sonar,UCI id=151 via ucimlrepo,21,ReliefF,mask_count,logistic,208,167,41,60,12,2.4166666666666665,0.4414141414141414,0.5073518279467074,0.4972818488077459,0.007028112449799197,nan
sonar,UCI id=151 via ucimlrepo,21,ReliefF,mask_count,random_forest,208,167,41,60,12,2.4166666666666665,0.4414141414141414,0.5203631988270542,0.5164846724171083,0.012048192771084338,nan
sonar,UCI id=151 via ucimlrepo,21,ReliefF,ranking,logistic,208,167,41,60,12,2.4166666666666665,0.4414141414141414,0.5055908156435266,0.4965995525632696,0.007028112449799197,nan
sonar,UCI id=151 via ucimlrepo,21,ReliefF,ranking,random_forest,208,167,41,60,12,2.4166666666666665,0.4414141414141414,0.5270481728501306,0.5139581801330241,0.01104417670682731,nan
spambase,UCI id=94 via ucimlrepo,1,GBFRS,mask,logistic,4601,600,920,57,12,1.9166666666666667,0.09343434343434343,0.5036678240740741,0.5047899056893024,0.011111111111111112,nan
spambase,UCI id=94 via ucimlrepo,1,GBFRS,mask,random_forest,4601,600,920,57,12,1.9166666666666667,0.09343434343434343,0.5020079089506172,0.5008877531964325,0.010277777777777778,nan
spambase,UCI id=94 via ucimlrepo,1,GBFRS,mask_count,logistic,4601,600,920,57,12,1.9166666666666667,0.09343434343434343,0.5036970679012345,0.5050977168580616,0.011666666666666667,nan
spambase,UCI id=94 via ucimlrepo,1,GBFRS,mask_count,random_forest,4601,600,920,57,12,1.9166666666666667,0.09343434343434343,0.5018272376543209,0.5000762515880769,0.0077777777777777776,nan
spambase,UCI id=94 via ucimlrepo,1,GBFRS,ranking,logistic,4601,600,920,57,12,1.9166666666666667,0.09343434343434343,0.5035381172839506,0.5045987867207997,0.0125,nan
spambase,UCI id=94 via ucimlrepo,1,GBFRS,ranking,random_forest,4601,600,920,57,12,1.9166666666666667,0.09343434343434343,0.5011206404320988,0.5008179618798095,0.009722222222222222,nan
spambase,UCI id=94 via ucimlrepo,1,FRFS,mask,logistic,4601,600,920,57,12,1.9166666666666667,0.7171717171717171,0.49763757716049384,0.49768238351697247,0.010833333333333334,nan
spambase,UCI id=94 via ucimlrepo,1,FRFS,mask,random_forest,4601,600,920,57,12,1.9166666666666667,0.7171717171717171,0.5034531635802468,0.508002483045309,0.012777777777777779,nan
spambase,UCI id=94 via ucimlrepo,1,FRFS,mask_count,logistic,4601,600,920,57,12,1.9166666666666667,0.7171717171717171,0.4976917438271605,0.4977075689687612,0.009722222222222222,nan
spambase,UCI id=94 via ucimlrepo,1,FRFS,mask_count,random_forest,4601,600,920,57,12,1.9166666666666667,0.7171717171717171,0.504675887345679,0.5085229019712368,0.013055555555555556,nan
spambase,UCI id=94 via ucimlrepo,1,MutualInformation,mask,logistic,4601,600,920,57,12,1.9166666666666667,0.2904040404040404,0.49997858796296296,0.5019041780490208,0.011944444444444445,nan
spambase,UCI id=94 via ucimlrepo,1,MutualInformation,mask,random_forest,4601,600,920,57,12,1.9166666666666667,0.2904040404040404,0.49965605709876537,0.49979497330575046,0.009444444444444445,nan
spambase,UCI id=94 via ucimlrepo,1,MutualInformation,mask_count,logistic,4601,600,920,57,12,1.9166666666666667,0.2904040404040404,0.500286612654321,0.5020327552420276,0.011944444444444445,nan
spambase,UCI id=94 via ucimlrepo,1,MutualInformation,mask_count,random_forest,4601,600,920,57,12,1.9166666666666667,0.2904040404040404,0.5011380787037037,0.5002036932855047,0.008888888888888889,nan
spambase,UCI id=94 via ucimlrepo,1,MutualInformation,ranking,logistic,4601,600,920,57,12,1.9166666666666667,0.2904040404040404,0.5060729552469135,0.5059119193581708,0.011111111111111112,nan
