dataset,seed,method,target_coverage,risk_train,risk_cal,risk_laplace,risk_wilson,coverage_train,coverage_cal,cal_minus_train_risk,laplace_minus_train_risk,wilson_minus_train_risk
breast_cancer,21,gb_fixed_p090,0.9,0.087719298245614,0.087719298245614,0.087719298245614,0.087719298245614,1.0,1.0,0.0,0.0,0.0
digits,1,gb_adaptive_parameter_free,0.8,0.0714285714285714,0.049618320610687,0.049618320610687,0.0683760683760683,0.990353697749196,0.842443729903537,-0.021810250817884395,-0.021810250817884395,-0.003052503052503097
digits,1,gb_adaptive_parameter_free,0.9,0.0714285714285714,0.0702341137123745,0.0702341137123745,0.0648464163822525,0.990353697749196,0.9614147909967846,-0.0011944577161969033,-0.0011944577161969033,-0.006582155046318899
digits,1,gb_fixed_p090,0.8,0.0676156583629893,0.025089605734767,0.0742049469964664,0.078125,0.8240469208211144,0.8181818181818182,-0.0425260526282223,0.006589288633477103,0.0105093416370107
digits,1,gb_fixed_p090,0.9,0.0637583892617449,0.0773809523809523,0.0787878787878787,0.0787878787878787,0.873900293255132,0.9853372434017597,0.013622563119207398,0.015029489526133796,0.015029489526133796
digits,7,gb_adaptive_parameter_free,0.8,0.1164383561643835,0.0739299610894941,0.0895522388059701,0.1013215859030837,0.9573770491803278,0.8426229508196721,-0.042508395074889405,-0.026886117358413397,-0.015116770261299803
digits,7,gb_adaptive_parameter_free,0.9,0.1164383561643835,0.0974729241877256,0.0974729241877256,0.0974729241877256,0.9573770491803278,0.9081967213114754,-0.018965431976657898,-0.018965431976657898,-0.018965431976657898
digits,7,gb_fixed_p090,0.8,0.119047619047619,0.068100358422939,0.0664335664335664,0.1148148148148148,0.8472622478386167,0.8040345821325648,-0.050947260624679996,-0.052614052614052595,-0.004232804232804199
digits,7,gb_fixed_p090,0.9,0.1070336391437308,0.1147058823529412,0.1131498470948012,0.1196013289036544,0.9423631123919308,0.9798270893371758,0.007672243209210394,0.0061162079510704015,0.01256768975992359
digits,21,gb_adaptive_parameter_free,0.8,0.0771812080536913,0.075187969924812,0.0780487804878048,0.0758293838862559,0.9900332225913622,0.8837209302325582,-0.0019932381288793044,0.0008675724341134922,-0.0013518241674354003
digits,21,gb_adaptive_parameter_free,0.9,0.0771812080536913,0.0719424460431654,0.0719424460431654,0.0696864111498257,0.9900332225913622,0.9235880398671096,-0.0052387620105259075,-0.0052387620105259075,-0.007494796903865605
digits,21,gb_fixed_p090,0.8,0.0902527075812273,0.0726072607260726,0.0769230769230768,0.0780669144981413,0.7891737891737892,0.8632478632478633,-0.017645446855154706,-0.013329630658150501,-0.01218579308308601
digits,21,gb_fixed_p090,0.9,0.0911949685534591,0.0726072607260726,0.0726072607260726,0.0939597315436241,0.905982905982906,0.8632478632478633,-0.0185877078273865,-0.0185877078273865,0.0027647629901649956
dry_bean,1,gb_adaptive_parameter_free,0.8,0.0616438356164383,0.0699300699300699,0.0699300699300699,0.0723684210526315,0.929936305732484,0.910828025477707,0.008286234313631596,0.008286234313631596,0.010724585436193201
dry_bean,1,gb_adaptive_parameter_free,0.9,0.0616438356164383,0.0699300699300699,0.0699300699300699,0.0723684210526315,0.929936305732484,0.910828025477707,0.008286234313631596,0.008286234313631596,0.010724585436193201
dry_bean,1,gb_fixed_p090,0.8,0.1064516129032258,0.0627062706270626,0.0476190476190476,0.0476190476190476,0.9144542772861356,0.8938053097345132,-0.043745342276163196,-0.0588325652841782,-0.0588325652841782
