experiment_id,seed,collusion_strength,drift,malicious_ratio,method,n_auditors,n_groups,additional_audit_cost,decision_delay,false_rejection_rate,false_trust_rate,final_audit_accuracy,malicious_auprc,malicious_auroc
multi-auditor-v1-s21,21,1.0,0.0,0.3,majority_vote,20,,0.0,1.4236197719465566,0.0,1.0,0.89,0.3,0.5
multi-auditor-v1-s21,21,1.0,0.0,0.3,tree_partition,20,2.0,0.0,1.4236197719465566,0.0,0.5,0.97,0.65,0.75
multi-auditor-v1-s21,21,1.0,0.0,0.3,weighted_majority,20,,0.0,1.4900704660485418,0.14285714285714285,0.5,0.9866666666666667,0.6717171717171717,0.6726190476190476
multi-auditor-v1-s42,42,1.0,0.0,0.3,beta_reputation,20,,0.0,1.4569515539353879,0.0,0.5,0.9666666666666667,0.6974358974358974,0.7321428571428571
multi-auditor-v1-s42,42,1.0,0.0,0.3,dawid_skene,20,,0.0,1.4569515539353879,0.0,0.0,1.0,1.0,1.0
multi-auditor-v1-s42,42,1.0,0.0,0.3,gb_three_way,20,2.0,0.0,1.5160583752657757,0.0,0.5,0.9866666666666667,0.65,0.75
multi-auditor-v1-s42,42,1.0,0.0,0.3,granular_ball,20,2.0,0.0,1.4569515539353879,0.0,0.5,0.96,0.65,0.75
multi-auditor-v1-s42,42,1.0,0.0,0.3,kmeans_trust,20,2.0,0.0,1.4569515539353879,0.0,0.5,0.96,0.65,0.75
multi-auditor-v1-s42,42,1.0,0.0,0.3,knn_competence,20,,0.0,1.4569515539353879,0.0,0.5,0.9666666666666667,0.6974358974358974,0.7321428571428571
multi-auditor-v1-s42,42,1.0,0.0,0.3,majority_vote,20,,0.0,1.4569515539353879,0.0,1.0,0.8866666666666667,0.3,0.5
multi-auditor-v1-s42,42,1.0,0.0,0.3,tree_partition,20,2.0,0.0,1.4569515539353879,0.0,0.5,0.96,0.65,0.75
multi-auditor-v1-s42,42,1.0,0.0,0.3,weighted_majority,20,,0.0,1.5160583752657757,0.14285714285714285,0.5,0.99,0.6974358974358974,0.7321428571428571
multi-auditor-v1-s2026,2026,1.0,0.0,0.3,beta_reputation,20,,0.0,1.3871816009725213,0.0,0.5,0.97,0.6565452091767882,0.5833333333333333
multi-auditor-v1-s2026,2026,1.0,0.0,0.3,dawid_skene,20,,0.0,1.3871816009725213,0.0,0.0,1.0,1.0,1.0
multi-auditor-v1-s2026,2026,1.0,0.0,0.3,gb_three_way,20,2.0,0.0,1.4310386071030496,0.0,0.5,0.9766666666666667,0.65,0.75
multi-auditor-v1-s2026,2026,1.0,0.0,0.3,granular_ball,20,2.0,0.0,1.3871816009725213,0.0,0.5,0.97,0.65,0.75
multi-auditor-v1-s2026,2026,1.0,0.0,0.3,kmeans_trust,20,2.0,0.0,1.3871816009725213,0.0,0.5,0.97,0.65,0.75
multi-auditor-v1-s2026,2026,1.0,0.0,0.3,knn_competence,20,,0.0,1.3871816009725213,0.0,0.5,0.97,0.6565452091767882,0.5833333333333333
multi-auditor-v1-s2026,2026,1.0,0.0,0.3,majority_vote,20,,0.0,1.3871816009725213,0.0,1.0,0.9,0.3,0.5
multi-auditor-v1-s2026,2026,1.0,0.0,0.3,tree_partition,20,2.0,0.0,1.3871816009725213,0.0,0.5,0.97,0.65,0.75
multi-auditor-v1-s2026,2026,1.0,0.0,0.3,weighted_majority,20,,0.0,1.4310386071030496,0.07142857142857142,0.5,0.99,0.6565452091767882,0.5833333333333333
multi-auditor-v1-s1,1,1.0,0.2,0.3,beta_reputation,20,,0.0,1.5031720294182542,0.0,0.5,0.5566666666666666,0.6626893939393939,0.625
multi-auditor-v1-s1,1,1.0,0.2,0.3,dawid_skene,20,,0.0,1.5031720294182542,0.0,1.0,0.0,0.3,0.0
multi-auditor-v1-s1,1,1.0,0.2,0.3,gb_three_way,20,3.0,0.0,1.5646388468870611,0.0,0.5,0.6366666666666667,0.65,0.75
multi-auditor-v1-s1,1,1.0,0.2,0.3,granular_ball,20,3.0,0.0,1.5031720294182542,0.0,0.5,0.5066666666666667,0.6764705882352942,0.8035714285714286
multi-auditor-v1-s1,1,1.0,0.2,0.3,kmeans_trust,20,3.0,0.0,1.5031720294182542,0.0,0.5,0.5066666666666667,0.6764705882352942,0.8035714285714286
multi-auditor-v1-s1,1,1.0,0.2,0.3,knn_competence,20,,0.0,1.5031720294182542,0.0,0.5,0.5566666666666666,0.6626893939393939,0.625
multi-auditor-v1-s1,1,1.0,0.2,0.3,majority_vote,20,,0.0,1.5031720294182542,0.0,1.0,0.2966666666666667,0.3,0.5
multi-auditor-v1-s1,1,1.0,0.2,0.3,tree_partition,20,3.0,0.0,1.5031720294182542,0.0,0.5,0.56,0.65,0.6785714285714286
multi-auditor-v1-s1,1,1.0,0.2,0.3,weighted_majority,20,,0.0,1.5646388468870611,0.07142857142857142,0.5,0.6833333333333333,0.662689393939394,0.625
multi-auditor-v1-s7,7,1.0,0.2,0.3,beta_reputation,20,,0.0,1.4969915875613995,0.0,0.5,0.56,0.6748538011695906,0.6726190476190477
multi-auditor-v1-s7,7,1.0,0.2,0.3,dawid_skene,20,,0.0,1.4969915875613995,0.0,1.0,0.0,0.3,0.0
multi-auditor-v1-s7,7,1.0,0.2,0.3,gb_three_way,20,2.0,0.0,1.5309668236484475,0.0,0.5,0.6133333333333333,0.65,0.75
multi-auditor-v1-s7,7,1.0,0.2,0.3,granular_ball,20,2.0,0.0,1.4969915875613995,0.0,0.5,0.5233333333333333,0.65,0.75
multi-auditor-v1-s7,7,1.0,0.2,0.3,kmeans_trust,20,2.0,0.0,1.4969915875613995,0.0,0.5,0.5233333333333333,0.65,0.75
multi-auditor-v1-s7,7,1.0,0.2,0.3,knn_competence,20,,0.0,1.4969915875613995,0.0,0.5,0.56,0.6748538011695906,0.6726190476190477
multi-auditor-v1-s7,7,1.0,0.2,0.3,majority_vote,20,,0.0,1.4969915875613995,0.0,1.0,0.30333333333333334,0.3,0.5
multi-auditor-v1-s7,7,1.0,0.2,0.3,tree_partition,20,2.0,0.0,1.4969915875613995,0.0,0.5,0.5233333333333333,0.65,0.75
multi-auditor-v1-s7,7,1.0,0.2,0.3,weighted_majority,20,,0.0,1.5309668236484475,0.07142857142857142,0.5,0.6833333333333333,0.6748538011695906,0.6726190476190477
multi-auditor-v1-s21,21,1.0,0.2,0.3,beta_reputation,20,,0.0,1.5030201760936144,0.0,0.5,0.52,0.7333333333333334,0.7857142857142857
multi-auditor-v1-s21,21,1.0,0.2,0.3,dawid_skene,20,,0.0,1.5030201760936144,0.0,1.0,0.0,0.3,0.0
multi-auditor-v1-s21,21,1.0,0.2,0.3,gb_three_way,20,2.0,0.0,1.5357722679158645,0.0,0.5,0.6233333333333333,0.65,0.75
multi-auditor-v1-s21,21,1.0,0.2,0.3,granular_ball,20,2.0,0.0,1.5030201760936144,0.0,0.5,0.49666666666666665,0.65,0.75
multi-auditor-v1-s21,21,1.0,0.2,0.3,kmeans_trust,20,2.0,0.0,1.5030201760936144,0.0,0.5,0.49666666666666665,0.65,0.75
multi-auditor-v1-s21,21,1.0,0.2,0.3,knn_competence,20,,0.0,1.5030201760936144,0.0,0.5,0.52,0.7333333333333334,0.7857142857142857
multi-auditor-v1-s21,21,1.0,0.2,0.3,majority_vote,20,,0.0,1.5030201760936144,0.0,1.0,0.31333333333333335,0.3,0.5
